"NBNORG0000008962","NBNSYS0000170233"
"NBNORG0000008964","NBNSYS0000170834"
"NBNORG0000008965","NBNSYS0000166396"
"NBNORG0000008966","NBNSYS0000171531"
"NBNORG0000008967","NBNSYS0000164962"
"NBNORG0000008968","NBNSYS0000169135"
"NBNORG0000008969","NBNSYS0000169117"
"NBNORG0000008970","NBNSYS0000168004"
"NBNORG0000008974","NBNSYS0000166744"
"NBNORG0000008975","NBNSYS0000170241"
"NBNORG0000008976","NBNSYS0000165070"
"NBNORG0000008977","NBNSYS0000164990"
"NBNORG0000008982","NBNSYS0000167572"
"NBNORG0000008983","NBNSYS0000164963"
"NBNORG0000008984","NBNSYS0000166047"
"NBNORG0000008985","NBNSYS0000165553"
"NBNORG0000008986","NBNSYS0000170839"
"NBNORG0000008987","NBNSYS0000168846"
"NBNORG0000008994","NBNSYS0000165484"
"NBNORG0000008995","NBNSYS0000170238"
"NBNORG0000008996","NBNSYS0000167037"
"NBNORG0000008997","NBNSYS0000168133"
"NBNORG0000009001","NBNSYS0000171521"
"NBNORG0000009002","NBNSYS0000166012"
"NBNORG0000009004","NBNSYS0000172103"
"NBNORG0000009005","NBNSYS0000170094"
"NBNORG0000009006","NBNSYS0000165191"
"NBNORG0000009899","NBNSYS0000167467"
"NBNORG0000010016","NBNSYS0000167340"
"NBNORG0000017191","NBNSYS0000170277"
"NBNORG0000017282","NBNSYS0000165988"
"NBNORG0000088890","NBNSYS0000166486"
"NBNORG0000011709","NHMSYS0000841539"
"NBNORG0000011719","NBNSYS0000166001"
"NBNORG0000011721","NBNSYS0000165411"
"NBNORG0000011723","NBNSYS0000170016"
"NBNORG0000011727","NBNSYS0000165087"
"NBNORG0000017846","NBNSYS0000168871"
"NBNORG0000011416","NBNSYS0000167229"
"NBNORG0000088021","NBNSYS0000167741"
"NBNORG0000088015","NBNSYS0000164966"
"NBNORG0000017894","NBNSYS0000171483"
"NBNORG0000087346","NBNSYS0000168983"
"NBNORG0000017912","NBNSYS0000165158"
"NBNORG0000017942","NBNSYS0000165560"
"NBNORG0000017947","NBNSYS0000165175"
"NBNORG0000091852","NBNSYS0000169728"
"NBNORG0000010509","NBNSYS0000169520"
"NBNORG0000010520","NBNSYS0000167035"
"NBNORG0000018154","NBNSYS0000165770"
"NBNORG0000018160","NBNSYS0000171475"
"NBNORG0000018165","NBNSYS0000165193"
"NBNORG0000018169","NBNSYS0000168800"
"NBNORG0000018184","NBNSYS0000165992"
"NBNORG0000018210","NBNSYS0000170869"
"NBNORG0000011447","NBNSYS0000169610"
"NBNORG0000011448","NBNSYS0000170681"
"NBNORG0000011455","NBNSYS0000169395"
"NBNORG0000011460","NBNSYS0000165976"
"NBNORG0000011511","NBNSYS0000169767"
"NBNORG0000011548","NBNSYS0000171444"
"NBNORG0000011549","NBNSYS0000171444"
"NBNORG0000011553","NBNSYS0000171444"
"NBNORG0000011588","NBNSYS0000166979"
"NBNORG0000011615","NBNSYS0000165106"
"NBNORG0000018260","NBNSYS0000165915"
"NBNORG0000018261","NBNSYS0000165915"
"NBNORG0000018268","NBNSYS0000165915"
"NBNORG0000092882","NBNSYS0000169785"
"NBNORG0000092473","NBNSYS0000165914"
"NBNORG0000018326","NBNSYS0000167299"
"NBNORG0000018327","NBNSYS0000168432"
"NBNORG0000018328","NBNSYS0000167413"
"NBNORG0000018454","NBNSYS0000168254"
"NBNORG0000018464","NBNSYS0000164773"
"NBNORG0000022079","NBNSYS0000169976"
"NBNORG0000022089","NBNSYS0000166121"
"NBNORG0000023109","NBNSYS0000130458"
"NBNORG0000023124","NBNSYS0000167079"
"NBNORG0000010960","NBNSYS0000171257"
"NBNORG0000010962","NBNSYS0000166857"
"NBNORG0000011040","NBNSYS0000167147"
"NBNORG0000040520","NBNSYS0000170352"
"NBNORG0000040535","NBNSYS0000170320"
"NBNORG0000040538","NBNSYS0000167256"
"NBNORG0000040525","NBNSYS0000171293"
"NBNORG0000040527","NBNSYS0000171251"
"NBNORG0000008782","NBNSYS0000164674"
"NBNORG0000006886","NBNSYS0000168515"
"NBNORG0000006977","NBNSYS0000170564"
"NBNORG0000006964","NBNSYS0000166107"
"NBNORG0000006900","NBNSYS0000168220"
"NBNORG0000008812","NBNSYS0000166937"
"NBNORG0000008813","NBNSYS0000170371"
"NBNORG0000008814","NBNSYS0000165331"
"NBNORG0000008816","NBNSYS0000165401"
"NBNORG0000049718","NBNSYS0000166379"
"NBNORG0000017073","NBNSYS0000172190"
"NBNORG0000109458","NBNSYS0000178120"
